"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"StudentTask","Activity","","6","0","0","0","0"
"StudentTask","Pretest","","0","0","0","0","3"
"Login","Login","","1","1","5","2","0"
"Class","ClassCreation","","3","0","0","0","0"
"Login","StudentSignUp","","6","0","0","0","0"
"SignUp","TeacherSignUp","","7","0","0","0","0"
"","","","0","0","0","0","4"
"SignUp","StudentSignUp","","4","0","0","0","0"
"Pretest","Pretest","","1","0","1","0","0"
"LinkStudentToTeacher","LinkStudentToTeacher","","4","0","0","0","0"
"Students","AddStudents","","1","0","0","0","0"
"StudentTask","CompletingNextQuiz","","1","1","0","1","0"
"BackOffice","BackOffice","","1","0","0","0","0"
